中文單位名稱,英文單位名稱,郵遞區號,地址,電話,POINT_X,POINT_Y
木新派出所,Muxin Police Station,116,臺北市文山區恆光街45號,02 29372488,307271.1072,2763956.184
指南派出所,Zhinan Police Station,116,臺北市文山區指南路2段177號,02 29382712,308343.439,2764497.535
萬芳派出所,Wanfang Police Station,116,臺北市文山區萬芳里萬美街1段50號,02 22391753,307213.873,2766148.234
復興派出所,Fuxing Police Station,116,臺北市文山區木柵路1段54號,02 22367140,305222.786,2764422.813
木柵派出所,Muzha Police Station,116,臺北市文山區木柵路2段202號,02 29397141,306905.3151,2764647.591
南港分局,Nangang Precinct,115,臺北市南港區向陽路150號,02 27839110,310003.346,2772030.218
玉成派出所,Yucheng  Police Station,115,臺北市南港區向陽路150號,02 27886958,310003.346,2772030.218
舊莊派出所,Jiuzhuang Police Station,115,臺北市南港區舊莊街1段213號,02 27822492,312818.0005,2770183.414
同德派出所,Tongde Police Station,115,臺北市南港區同德路83號,02 27867201,309089.9539,2771006.968
南港派出所,Nangang Police Station,115,臺北市南港區興中路12巷2號,02 27830476,311259.5243,2771999.235
內湖分局,Neihu Precinct,114,臺北市內湖區民權東路6段101號,02 27900505,309479.5406,2773578.316
康樂派出所,Kangle Police Station,114,臺北市內湖區康樂街110巷16弄20號,02 26342237,312383.4428,2773712.978
東湖派出所,Donghu Police Station,114,臺北市內湖區五分街10號,02 26313350,311841.2931,2773386.373
文德派出所,Wende Police Station,114,臺北市內湖區民權東路6段26號,02 27944946,308405.107,2773279.033
大湖派出所,Dahu Police Station,114,臺北市內湖區成功路5段1號,02 27909521,310660.0909,2775227.569
港墘派出所,Gangquian Police Station,114,臺北市內湖區內湖路1段550號,02 87518690,308173.3675,2774628.931
西湖派出所,Xihu Police Station,114,臺北市內湖區瑞光路515號,02 27987505,307430.3597,2774661.908
潭美派出所,Tanmei Police Station,114,臺北市內湖區新明路324號,02 27917233,308678.9853,2772027.555
內湖派出所,Neihu Police Station,114,臺北市內湖區內湖路2段261號,02 27931031,309528.8939,2774998.766
康寧派出所,Kangning Police Station,114,臺北市內湖區金湖路83號,02 87920061,310274.1368,2774901.187
北投分局,Beitou Precinct,112,臺北市北投區中央北路1段1號,02 28914521,300548.9026,2780643.948
永明派出所,Yongming Police Station,112,臺北市北投區石牌路2段10號,02 28213110,302092.547,2778930.882
竹子湖派出所,Zhuzihu Police Station,112,臺北市北投區竹子湖路16號,02 28616082,304455.2611,2784449.037
公園派出所,Gongyuan Police Station,112,臺北市北投區紗帽路110號,02 28610145,305308.6443,2782371.179
關渡派出所,Guandu Police Station,112,臺北市北投區大度路3段305號,02 28583864,296986.2179,2779479.235
石牌派出所,Shipai Police Station,112,臺北市北投區文林北路296號,02 28231513,301686.2559,2778047.503
奇岩派出所,Qiyan Police Station,112,臺北市北投區公館路209巷11號,02 28954410,301229,2780012
大屯派出所,Datun Police Station,112,臺北市北投區中和街534號,02 28913971,299729.61,2781995.911
光明派出所,Guangming Police Station,112,臺北市北投區泉源路14號,02 28911647,300838.202,2781083.509
長安派出所,Changan Police Station,112,臺北市北投區中央北路1段1號,02 28912029,300548.9026,2780643.948
士林分局,Shilin Precinct,111,臺北市士林區文林路235號,02 28813856,303058.5039,2775930.478
翠山派出所,Cuishan Police Station,111,臺北市士林區中社路1段56號,02 28411423,306503.1499,2777869.335
後港派出所,Hougang Police Station,111,臺北市士林區福港街151號,02 28829373,302253.7268,2775558.208
山仔后派出所,Shanzaihou Police Station,111,臺北市士林區格致路39號,02 28611295,305085.7076,2781092.822
永福派出所,Yongfu Police Station,111,臺北市士林區仰德大道3段49號,02 28616353,305693.8604,2779003.192
溪山派出所,Xishan Police Station,111,臺北市士林區至善路3段263號,02 28411110,308941.99,2779174.163
芝山岩派出所,Zhishanyan Police Station,111,臺北市士林區仰德大道1段16號,02 28813194,304247.3918,2777084.867
天母派出所,Tianmu Police Station,111,臺北市士林區中山北路7段192號,02 28714110,303741.3098,2779738.945
蘭雅派出所,Lanya Police Station,111,臺北市士林區中山北路6段153號1樓,02 28315001,302920.3415,2777692.207
社子派出所,Shezi Police Station,111,臺北市士林區延平北路6段200號,02 28122720,300992.308,2775803.481
文林派出所,Wenlin Police Station,111,臺北市士林區文林路235號,02 28812211,303058.5039,2775930.478
信義分局,Xinyi Precinct,110,臺北市信義區信義路5段17號,02 27234739,307287.7045,2769569.712
六張犁派出所,Liuzhangli Police Station,110,臺北市信義區基隆路2段131-22號,02 27355068,306134.834,2768928.596
吳興街派出所,Wuxingjie St. Police Station,110,臺北市信義區吳興街262號,02 27398997,306907.252,2768843.297
福德街派出所,Fudejie St. Police Station,110,臺北市信義區松德路66號,02 27273424,308138.894,2770172.212
五分埔派出所,Wufenpu Police Station,110,臺北市信義區永吉路333號,02 27653349,308105.0636,2770959.046
三張犁派出所,Sanchangli Police Station,110,臺北市信義區信義路5段17號,02 27295561,307287.7045,2769569.712
松山分局,Songshan Precinct,105,臺北市南京東路3段340號,02 27782081,305265.6875,2771599.118
民有派出所,Minyou Police Station,105,臺北市松山區民權東路3段162號,02 27123638,305293.8918,2772728.824
三民派出所,Sanmin Police Station,105,臺北市松山區三民里民生東路5段163之1號,02 27621708,306791.8017,2772467.524
東社派出所,Dongshe Police Station,105,臺北市松山區精忠里敦化北路199巷5之1號,02 27135253,305632.6927,2772173.638
中崙派出所,Zhonglun Police Station,105,臺北市松山區長安東路2段229之1號,02 27711239,305091.4035,2771249.008
松山派出所,Songshan Police Station,105,臺北市松山區八德路4段692號,02 27670446,308234.9084,2771421.727
大同分局,Datong Precinct,103,臺北市大同區錦西街200號,02 25577262,301962.2656,2772449.219
建成派出所,Jiancheng Police Station,103,臺北市大同區承德路1段80號,02 25585463,302197.8939,2771720.012
民生西路派出所,Minsheng Rd. Police Station,103,臺北市大同區保安街47之1號,02 25538587,301662.6506,2772435.719
延平派出所,Yanping Police Station,103,臺北市大同區延平北路1段86號,02 25564340,301631.6885,2771657.575
重慶北路派出所,Chongqing N. Rd. Police Station,103,臺北市大同區重慶北路3段320之2號,02 25944741,301804.6477,2774233.409
寧夏路派出所,Ningxia Rd. Police Station,103,臺北市大同區錦西街200號,02 25575011,301962.2656,2772449.219
民族路派出所,Minzu Rd. Police Station,103,臺北市大同區重慶北路3段168號,02 25926204,301805.1675,2773495.131
萬華分局,Wanhua Precinct,108,臺北市萬華區康定路22號,02 23140364,300741.5626,2770867.943
青年路派出所,Qingnian Rd. Police Station,108,臺北市萬華區萬大路423巷112號,02 23054219,300677.1163,2768299.766
東園街派出所,Dongyuan St. Police Station,108,臺北市萬華區長泰街130號,02 23033247,300279.2404,2768352.612
西園路派出所,Xiyuan Rd. Police Station,108,臺北市萬華區東園街17號,02 23032943,300015.5372,2768988.322
莒光派出所,Juguang Police Station,108,臺北市萬華區莒光路171號,02 23064987,300728.5614,2769314.354
華江派出所,Huajiang Police Station,108,臺北市萬華區環河南路2段196號,02 23061531,299767.454,2769665.899
大理街派出所,Dali St. Police Station,108,臺北市萬華區大理街99號,02 23063468,300281.268,2769685.99
康定路派出所,Kangding Rd. Police Station,108,臺北市萬華區和平西路3段112號,02 23064226,300489.676,2769756.608
龍山派出所,Longshan Police Station,108,臺北市萬華區桂林路135號,02 23314823,300415.335,2770146.068
西門町派出所,Ximending Police Station,108,臺北市萬華區康定路22號,02 23312212,300743.338,2770870.094
新北市政府警察局,New Taipei City Police Department,220,新北市板橋區府中路32號,02 80725454,296273.1401,2766948.413
土城分局,Tucheng Precinct ,236,新北市土城區和平路22號,02  22665929,294718.9256,2762891.069
土城派出所,Tucheng Police Station ,236,新北市土城區和平路22號,02  22656058,294718.9256,2762891.069
金城派出所,Jincheng Police Station,236,新北市土城區延吉街318號,02 22633152,296794.1958,2764095.744
廣福派出所,Guangfu Police Station ,236,新北市土城區學府路1段103號,02 22701588,296031.4823,2764492.266
清水派出所,Qingshui Police Station ,236,新北市土城區青雲路220號,02  22615090,296327.885,2763784.26
頂埔派出所,Dingpu Police Station ,236,新北市土城區中央路4段102號,02 22681220,292234.748,2761336.772
三峽分局,Sanxia Precint,237,新北市三峽區中正路1段48號,02  26711796,287897.6607,2758137.292
吉埔派出所,Jipo Station,237,新北市三峽區中正路2段451號,02  26711278,286597.731,2755469.309
成福派出所,Chengfu Station,237,新北市三峽區成福路84號,02  26726097,292480.5917,2758067.695
圳頭派出所,Zuntou Station,237,新北市三峽區中正路2段451號,02  26741167,286597.731,2755469.309
五寮派出所,Wuliao Station,237,新北市三峽區五寮里五寮154號,02  26720283,286312.0781,2750112.127
插角派出所,Chajiao Station,237,新北市三峽區插角里插角67之1號,02  26720121,291074.9379,2751540.615
湖山派出所,Hushan Station,239,新北市鶯歌區大湖路370號,02  26792474,284954.0831,2762836.565
鳳鳴派出所,Fengming Station,239,新北市鶯歌區鳳鳴里莒光街20號,02  26789110,283565.7444,2762083.743
二橋派出所,Erqiao Station,239,新北市鶯歌區中正三路6號,02  26781225,284191.4249,2759435.13
橫溪派出所,HengXi Station,237,新北市三峽區介壽路3段49號,02  86761762,289939.1856,2758902.745
鶯歌分駐所,Yingge  Station,239,新北市鶯歌區中正一路195號,02  26792024,285695.6611,2761089.241
三峽派出所,Sanxia  Station,237,新北市三峽區民權街38號,02  26711254,287333.3024,2758488.996
北大派出所,Beida Station,237,新北市三峽區學成路396號,02 26730561,288150.939,2759649.494
三重分局,Sanchong Precinct ,241,新北市三重區重新路3段147號,02  89818900,299441.112,2772418.568
永福派出所,Yongfu Police Station,241,新北市三重區力行路2段162巷53號,02  22802065,298553.168,2774348.18
中興橋派出所,Jhongsing Police Station,241,新北市三重區成功路21號,02  29789513,299457.7543,2771459.548
光明派出所,Guangming Police Station,241,新北市三重區過圳街46號,02  29860655,299164.0634,2772605.961
慈福派出所,Cihfu Police Station,241,新北市三重區仁愛街519號,02  29815111,299144.9862,2774976.437
厚德派出所,Houde Police Station,241,新北市三重區三和路3段186號,02  29712064,299643.9068,2774001.383
長泰派出所,Changtai Police Station,241,新北市三重區仁愛街15號,02  29735094,300148.793,2773708.943
三重派出所,Sanchong Police Station,241,新北市三重區重新路1段43號,02  29722553,300678.3228,2772957.352
大同派出所,Datong Police Station,241,新北市三重區大同南路155號,02  29723261,300102.8885,2772156.547
二重派出所,Erchong Police Station,241,新北市三重區重新路5段406號,02  29956794,298021.3065,2771126.758
大有派出所,Dayou Police Station,241,新北市三重區大有里中正北路402號,02  89851911,297979.219,2773645.019
重陽派出所,Chongyang Police Station,241,新北市三重區集賢路163號,02  82879727,299114.696,2775645.19
中和分局,Zhonghe Precinct,235,新北市中和區圓通路30號,02 22498950,300573.981,2765641.572
中和派出所,Zhonghe Police Station,235,新北市中和區中和路102之1號,02 22492624,300703.7203,2765836.71
安平派出所,Anping Police Station,235,新北市中和區中安街175號,02 29264139,301599.6329,2765872.045
秀山派出所,Xiushan Police Station,235,新北市中和區成功路139號,02 29402114,303097.3572,2764825.212
南勢派出所,Nanshi Police Station,235,新北市中和區南山路322號,02 29419445,301277.0926,2764380.833
景安派出所,Jing'an Police Station,235,新北市中和區復興路276號,02 22436955,300744.6789,2764817.384
國光派出所,Guo-guang Police Station,235,新北市中和區莒光路160號,02 29569805,297705.745,2765848.777
錦和派出所,Jin-he Police Station,235,新北市中和區中正路275號1樓,02 22482551,300025.9536,2765167.235
中原派出所,Zhong-yuan Police Station,235,新北市中和區立德街60號,02 22213029,299286.5304,2766710.446
積穗派出所,Ji-sui Police Station,235,新北市中和區員山路471號,02 22268955,298458.585,2766396.731
員山派出所,Yuan-shan Police Station,235,新北市永和區員山路235巷1號,02 22237295,298544.7021,2765670.861
板橋分局,Banqiao Precinct,220,新北市板橋區文化路1段52號,02 80725454,296437.2927,2767232.824
沙崙派出所,Shalun Police Station  ,220,新北市板橋區溪北路111號,02 26812741,293441.0098,2764562.37
大觀派出所,Daguan Police Station  ,220,新北市板橋區大觀路2段127號,02 22752477,295013.8291,2765989.839
後埔派出所,Houpu Police Station ,220,新北市板橋區成都街22號,02 29615964,296518.354,2766380.881
板橋派出所,Banqiao Police Station ,220,新北市板橋區北門街17號,02 29699664,296111.362,2767074.268
信義派出所,Xinyi Police Station  ,220,新北市板橋區廣權路28號,02  29592317,296553.9571,2764905.367
樹林分局,Shulin Precinct,238,新北市樹林區保安街1段283號,02  26812101,292278.3613,2765501.416
柑園派出所,Ganyaun police station,238,新北市樹林區佳園路3段20號,02  26801075,289166.9367,2760765.385
山佳派出所,Shanjia police station,238,新北市樹林區中山路3段38號,02  26806114,289866.6417,2762808.673
三多派出所,Sanfu police station,238,新北市樹林區三福街72號,02  26894108,290840.5702,2767645.77
樹林派出所,Shulin police station,238,新北市樹林區鎮前街35號,02  26812034,292955.4392,2764952.68
彭厝派出所,Pengcuo police station,238,新北市樹林區國凱街65號,02 86868077,292569.8265,2763592.01
永和分局,Yonghe Precinct,234,新北市永和區竹林路198號,02  29213119,302524.38,2766937.046
得和派出所,Dehe Police Station,234,新北市永和區民權路51號,02  29451969,302497.3781,2765553.98
中正橋派出所,Zhongzhengqiao Police Station,234,新北市永和區永和路2段303號,02  29215119,302055.566,2767705.02
新生派出所,Xinsheng Police Station,234,新北市永和區仁愛路187號,02  29217119,301500.7508,2767268.972
秀朗派出所,Xiulang Police Station,234,新北市永和區永利路73號,02  29251130,302594.76,2766299.297
永和派出所,Yonghe Police Station,234,新北市永和區安樂路344號,02  29214229,301934.0299,2766566.274
汐止分局,Shi jr Station,221,新北市汐止區大同路2段459號,02  26412610,316608.227,2773490.327
東山派出所,Dung Shan Office ,221,新北市汐止區汐平路2段68號,02  26415841,320514.6898,2772682.736
烘內派出所,Hung Nei Office ,221,新北市汐止區汐萬路2段230號,02  26462564,315238.2648,2775730.02
長青派出所,Ba Lian Office ,221,新北市汐止區長青路188巷1之1號,02  26451281,311077.42,2778226.393
橫科派出所,Heng Ke Office ,221,新北市汐止區民權街2段87號,02  26401237,312481.3384,2771199.333
社后派出所,She Hou Office ,221,新北市汐止區中興路108號,02  26942819,313906.45,2772987.375
長安派出所,Chang An Office ,221,新北市汐止區大同路3段99號,02  86482618,317399.7203,2774532.624
汐止派出所,Shi Jr Office ,221,新北市汐止區大同路2段459號,02  26412827,316608.227,2773490.327
淡水分局,Tamsui Precinct,251,新北市淡水區中正路229號,02 26224330,294012.9479,2784967.442
水源派出所,Shuiyuan Police Station,251,新北市淡水區北新路2段19號,02  26200534,298183.0258,2786446.935
興仁派出所,Xingren Police Station,251,新北市淡水區興仁路93號,02  26236399,295528.3951,2789972.375
賢孝派出所,Xianxiao Police Station,251,新北市淡水區淡金路5段72號,02  28011505,295809.9184,2791722.134
後厝派出所,Houcuo Police Station,252,新北市三芝區後厝里北勢子45之32號,02  26362052,297273.8796,2793658.701
興華派出所,Xinghua Police Station,252,新北市三芝區興華里田心子1號,02  26371851,300600.5339,2788544.017
三芝分駐所,Sanzhi Police Station,252,新北市三芝區育英街27號,02  26362049,300477.9309,2794395.572
中正路派出所,Zhongzhenglu Police Station,251,新北市淡水區中正路320號,02  26212752,294007.999,2784990.874
中山路派出所,Zhongshanlu Police Station,251,新北市淡水區中正東路40號,02  26212753,295343.1048,2784153.303
竹圍派出所,Zhuwei Police Station,251,新北市淡水區民權路32號,02  28092831,296360.9969,2781079.556
水碓派出所,Shuidui Police Station,251,新北市淡水區中山北路1段160號,02  26212491,294791.7542,2785598.143
新店分局,Xindian Precinct,231,新北市新店區寶橋路188號4樓,02  29111170,305493.157,2763406.25
龜山派出所,Guishan Police Station,231,新北市新店區新烏路3段152號,02  26667560,305739.6116,2755104.478
福山派出所,Fushan Police Station,233,新北市烏來區福山里李茂岸30號,02  26616260,300780.924,2741339.48
楓子林派出所,Fengzilin Police Station,223,新北市石碇區楓子林32號,02  26631285,314848.466,2767018.039
石(石曹)派出所,Shicao Police Station,232,新北市坪林區北宜路9段6號,02  26656343,322705.938,2755156.007
漁光派出所,Yuguang Police Station,232,新北市坪林區漁光里大舌湖24號,02  26656910,324609.1388,2761924.867
孝義派出所,Xiaoyi Police Station,233,新北市烏來區孝義里阿玉路2號,02  26616139,309162.0086,2749391.007
雙城派出所,Shuangcheng Police Station,231,新北市新店區安康路3段209號,02  22158566,299259.2254,2760516.864
中民派出所,Zhongmin Police Station,223,新北市石碇區靜安路1段236號,02  26631254,317916.871,2766854.18
碧山派出所,Bishan Police Station,233,新北市石碇區北宜路5段42號,02  26651835,313801.0859,2760569.986
屈尺派出所,Quchi Police Station,231,新北市新店區屈尺路82號,02  26667439,305166.2016,2757327.479
深坑分駐所,Shenkeng Police Station,222,新北市深坑區平埔街16號,02  26621658,312121.835,2766095.336
忠治派出所,Zhongzhi Police Station,233,新北市烏來區新烏路4段23號,02  26616533,305613.342,2753055.509
石碇分駐所,Shiding Police Station,223,新北市石碇區碇坪路1段79號,02 26631240,316384.74,2764980.302
信賢派出所,Xinxian Police Station,233,新北市烏來區信福路11號,02  26616400,303180.5916,2747963.729
坪林分駐所,Pinglin Police Station,232,新北市坪林區坪林街106號,02  26656281,321855.5695,2758843.38
青潭派出所,Qingtan Police Station,231,新北市新店區北宜路2段417號,02  22171146,306545.6471,2760862.932
烏來分駐所,Wulai Police Station,233,新北市烏來區烏來街45號,02  26616410,305781.1299,2750912.724
闊瀨派出所,Kuolai Police Station,232,新北市坪林區坪雙路3段6號,02  26657041,327868,2762191
安康派出所,Ankang Police Station,231,新北市新店區安康路2段70號,02  22117337,301952.5444,2761853.041
豐田派出所,Fengtian Police Station,223,新北市石碇區豐田里磨石坑8號,02  26631975,319393.9247,2763078.309
頂城派出所,Dingcheng Police Station,231,新北市新店區碧潭路75號3樓,02  22118023,303956.535,2761121.594
直潭派出所,Zhitan Police Station,231,新北市新店區直潭十街27號,02  26667324,303983.9753,2759073.477
江陵派出所,Jiangling Police Station,231,新北市新店區民族路7號,02  29112165,304708.9899,2763523.873
金溪派出所,Jinxi Police Station,232,新北市坪林區粗窟里金瓜寮23之1號,02  26656487,318600.0404,2756118.607
碧潭派出所,Bitan Police Station,231,新北市新店區五峰里北新路1段86號,02  29111665,304690.896,2762302.964
安和派出所,Anhe Police Station,231,新北市新店區安和路3段1號,02  29467780,302242.421,2763646.464
新莊分局,Xinzhuang Precinct,242,新北市新莊區里中正路150號,02  29924034,295563.093,2769856.856
丹鳳派出所,Danfeng Police Station ,242,新北市新莊區雙鳳路75號1樓,02  29083119,291866.172,2768900.971
光華派出所,Guanghua Police Station,242,新北市新莊區民安西路141號,02  22050330,293038.8951,2767732.965
福營派出所,Fuying Police Station,242,新北市新莊區褔營路101號,02  29017434,293814.405,2769421.137
頭前派出所,Touqian Police Station,242,新北市新莊區化成路312號,02  29921043,296999.4846,2771202.584
中港派出所,Zhonggang Police Station,242,新北市新莊區中港路352號,02  29922112,295604.215,2770989.045
新莊派出所,Xinzhuang Police Station,242,新北市新莊區文明里中正路1之1號,02  29924018,296851.205,2770349.111
新樹派出所,Xinshu Police Station,242,新北市新莊區樹新路222號,02 22075386,293547.004,2765867.856
中平派出所,Zhongping Police Station,242,新北市新莊區中平路288號,02  89919755,294921.204,2771534.926
五工派出所,Wugong Police Station,242,新北市新莊區五工路95之1號,02  22993050,296174.691,2772867.004
昌平派出所,Changping Police Station,242,新北市新莊區富貴路111號,02 85227625,295897.25,2772180.861
林口分局,Limkou Precinct,244,新北市林口區忠孝二路57號,02  26068455,286678.032,2773592.901
林口派出所,Limkou Police Station ,244,新北市林口區中正路102號,02  26011630,289723.987,2774400.152
文化派出所,Wenhua Police Station,244,新北市林口區麗園一街5號,02  26095766,287970.912,2773808.651
忠孝派出所,Zhongxiao Police Station,244,新北市林口區忠孝二路57號,02 26087165,286678.032,2773592.901
下福派出所,Xiafu Police Station,244,新北市林口區下福里下福99之1號,02  26062835,279335.5343,2778809.237
瑞平派出所,Ruiping Police Station,244,新北市林口區瑞平里10鄰44號,02  26052724,283866.5009,2779405.125
泰山分駐所,Taishan Police Station,243,新北市泰山區泰林路2段214號,02  29097947,293699.774,2772678.688
明志派出所,Mingzhi Police Station,243,新北市泰山區明志路2段426號,02  29069881,292863.6387,2770696.66
瑞芳分局,Ruifang Precinct,224,新北市瑞芳區明燈路3段25號,02  24062602,331462.5599,2777939.883
九份派出所,Jiufen Police Station,224,新北市瑞芳區豎崎路24號,02  24972609,335042.4017,2778184.985
吉林派出所,Jilin Police Station,228,新北市貢寮區枋腳街4號,02  24941534,339449,2766317
四腳亭派出所,Sijiaoting  Police  Station,224,新北市瑞芳區瑞竹路124號,02  24576947,326848.9204,2777537.885
金瓜石派出所,Jinguash Police Station,224,新北市瑞芳區金光路51號,02  24961528,336507.9989,2778050.004
牡丹派出所,Mudan Police Staion,227,新北市雙溪區牡丹里牡丹106號,02  24931340,335751.562,2772706.884
澳底派出所,Aodi Police Station,228,新北市貢寮區延平街36號,02  24901074,343292.0021,2772343.053
東勢格派出所,Dongshige Police Station,226,新北市平溪區東勢里東勢格1號,02  24951379,325671.2006,2766553.134
柑腳派出所,Ganjiao Police Station,227,新北市雙溪區長源里柑腳19號,02  24931744,330198.439,2766734.402
福隆派出所,FulongPoliceStation,228,新北市貢寮區福隆街19號,02  24991541,345353.4797,2767937.718
鼻頭派出所,Bitou Police Station,224,新北市瑞芳區鼻頭路101號,02  24911579,342380.754,2779797.755
瑞濱派出所,Ruibin  Police Station,224,新北市瑞芳區建基路1段5之1號,02  24972009,332651.4561,2779430.717
猴硐派出所,Houtong Police Station,224,新北市瑞芳區九芎橋路96號,02  24972527,334013.0004,2776319.914
大寮派出所,Daliao Police Station ,224,新北市瑞芳區魚里魚坑路278號,02  24972608,329417,2777847
卯澳派出所, Maoao Police Station,228,新北市貢寮區福連街18號,02  24991540,349709.7222,2767571.952
和美派出所,Hemei Police Station,228,新北市貢寮區和美街30號,02  24901504,342160.5719,2775278.066
太平派出所,Taiping Police Station,227,新北市雙溪區大平路62號,02  24933317,333379.9311,2762880.179
貢寮分駐所,Gongliao Police Station,228,新北市貢寮區朝陽街56之1號,02  24941304,341842.0136,2768515.253
十分派出所,Shifen Police Station,226,新北市平溪區十分街283號,02  24958128,328587.8805,2771057.999
平溪分駐所,Pingxi Police Station,226,新北市平溪區平溪街43之1號,02  24951063,324522.136,2768883.709
平林派出所,Pingglin Police Station,227,新北市雙溪區上林里內平林47號,02  24931794,334076.7083,2769385.772
雙溪分駐所,Shuangxi Police Station,227,新北市雙溪區太平路64號,02  24931059,337317.4642,2770027.549
水湳洞派出所,Shuinandong Police Station,224,新北市瑞芳區洞頂路8號,02  24961529,336919.0786,2779526.107
瑞芳派出所,Ruei-Fang Police Station,224,新北市瑞芳區明燈路3段25號,02  24972141,331462.5599,2777939.883
蘆洲分局,Luzhou Precinct,247,新北市蘆洲區長榮路200號,02  22810555,296492.092,2775317.595
延平派出所,Yanping Police Station,247,新北市蘆洲區長安街108巷2號,02  82821991,296551.64,2774911.334
更寮派出所,Gengliao Police Station,248,新北市五股區中興路2段147號,02  29711126,296244.2667,2774487.05
成州派出所,Chengzhou Police Station,248,新北市五股區成泰路3段539號,02  22921296,295548.3313,2777093.162
龍源派出所,Longyuan Police Station,249,新北市八里區龍米路1段225號,02  26182245,295503.486,2780506.847
五股分駐所,Wugu Police Station,248,新北市五股區中興路4段67號,02  22916948,294062.1491,2775098.269
八里分駐所,Bali Police Station,249,新北市八里區訊塘路37號,02  26101315,290078.9946,2782005.176
三民派出所,Sanmin Police Station,247,新北市蘆洲區長榮路200號,02  22823775,296492.092,2775317.595
蘆洲派出所,Luzhou Police Station,247,新北市蘆洲區中山二路92號,02  22813358,297686.5353,2774938.895
德音派出所,Deyin Police Station,248,新北市五股區水碓二路1號1樓,02  82923789,293425.8903,2773741.298
集賢派出所,Jixian Police Station,247,新北市蘆洲區仁義里集賢路245號1樓,02  82832110,298589.372,2775275.178
