機構狀態,機構名稱,地址縣市別,地址鄉鎮市區,地址街道巷弄號,負責人姓名,負責人性別,電話,是否為健保特約藥局
"開業","汀州藥局","臺北市","中正區","汀州路1段187、189、191號(1樓)","李敏凡","女","02-23090705","Y"
"開業","中英大藥局","臺北市","中正區","永綏街6號1樓","杜有義","男","02-23615654","Y"
"開業","信康藥局","臺北市","中正區","南昌路一段143號","曾資尹","女","23961979","Y"
"開業","萃豐生物生藥科技有限公司","臺北市","大同區","民權西路292巷17號","王進弌","男","25529945","N"
"開業","裕仁藥局","臺北市","大同區","迪化街二段270之1號","洪均照","男","0225910064","Y"
"開業","玉泉商行","臺北市","大同區","重慶北路1段22之8號(1樓)","顏如禧","女","02-21001088",""
"開業","健康藥局","臺北市","大同區","寧夏路２３號之４","歐美慧","女","0225551219","N"
"開業","泰元藥局","臺北市","大同區","哈密街九十一號","林淑慎","女","0225914592","Y"
"開業","正中藥局","臺北市","大同區","民族西路二一三號","陳迺仁","男","0225976937","Y"
"開業","保慶藥局","臺北市","大同區","保安街21號","賴珏如","女","0225538988","Y"
"開業","快安藥局","臺北市","大同區","南京西路282、284號","陳靜如","女","25561925","Y"
"開業","得意藥師藥局","臺北市","大同區","延平北路二段229號","黃國原","男","25534294","Y"
"開業","健康美藥局","臺北市","大同區","民族西路165號","李秀茹","女","25976707","Y"
"開業","宏泰藥師藥局","臺北市","大同區","酒泉街131號","王宥筑","女","25957025","Y"
"開業","儷安藥局","臺北市","大同區","錦西街53巷16號","王麗蕙","女","25578033","Y"
"開業","富康藥局","臺北市","大同區","延平北路二段126號","黃思賢","男","02-25537782","Y"
"開業","佳禾藥局","臺北市","大同區","大龍街262號","周芳如","女","25953806","Y"
"開業","躍獅雙蓮藥局","臺北市","大同區","涼州街4號","蘇瑞婷","女","02-25537551","Y"
"開業","延平新聖安藥局","臺北市","大同區","延平北路三段35號","盧智仁","男","02-25923399","Y"
"開業","德芳藥局","臺北市","大同區","民生西路91號","簡德榮","男","25576869","Y"
"開業","旭豐藥局","臺北市","大同區","昌吉街96號","李政峯","男","02-25853880","Y"
"開業","中興聯合藥局","臺北市","大同區","鄭州路127號(實際營業地址：1樓)","侯睿睿","女","02-25502952","Y"
"開業","躍獅遠東藥局","臺北市","大同區","延平北路二段131號(實際營業地址：1樓)","林于中","男","02-25594835","Y"
"開業","躍獅文昌藥局","臺北市","大同區","民生西路108號(實際營業:一層)","徐育彬","男","25586189","Y"
"開業","春鄰藥局","臺北市","大同區","長安西路35號(實際營業樓層:一層)","馬子媖","女","0222526289","Y"
"開業","新聖安藥局","臺北市","大同區","昌吉街130號","鍾思瑾","女","02-25977877","Y"
"開業","酒泉春天藥局","臺北市","大同區","酒泉街94號、94號2樓","李孟育","女","02-25977932","Y"
"開業","大同民生藥局","臺北市","大同區","民生西路128號(1樓、2樓)及130號(1樓、2樓)","李昆鴻","男","25558886","Y"
"開業","123宅藥局","臺北市","大同區","鄭州路123號(1樓)","翟晉德","男","","Y"
"開業","慶福藥局","臺北市","大同區","南京西路 233巷2號(1樓)","邵志輝","男","25503628","Y"
"開業","新介春藥局","臺北市","大同區","酒泉街１６６號","王玉純","女","0225862265","N"
"開業","惠眾藥局","臺北市","大同區","重慶北路三段三三五巷四十三號","曹淑惠","女","0225981269","N"
"開業","柯藥局","臺北市","大同區","重慶北路三段３３５巷６號","柯明道","男","0225948515","Y"
"開業","時春藥局","臺北市","大同區","赤峰街４號","許健一","男","0225597918","Y"
"開業","香港商高德美有限公司台灣分公司","臺北市","大同區","承德路1段17號9樓之4、17號9樓之5、17號9樓之6","廖益誠","男","25558850",""
"開業","視美藥局","臺北市","中山區","民權東路三段６０巷８號１樓","莊振昇","男","0225019597","N"
"開業","百源堂大藥局","臺北市","中山區","長安東路二段四十七之五號一樓","彭祖樞","男","0225630711","Y"
"開業","名祥藥局","臺北市","中山區","龍江路１６６號","朱熏祥","男","0225036265","Y"
"開業","家進藥局","臺北市","中山區","合江街１３１號","胡榮錦","男","02-25162956","N"
"開業","順泰藥局","臺北市","中山區","錦州街266號1樓","陳文福","男","0225038916","Y"
"開業","滿順藥局","臺北市","中山區","伊通街54號1樓","劉錫慶","男","0225075283","Y"
"開業","優豐藥局","臺北市","中山區","民生東路一段三十二號","李政坤","男","0225602565","Y"
"開業","泰興藥局","臺北市","中山區","新生北路二段６２巷３２號","黃守賢","男","0225371586","N"
"開業","阿里藥局","臺北市","中山區","錦州街251號1樓","劉美惠","女","0225020638","Y"
"開業","仁邨藥局","臺北市","中山區","合江街１２０號","陳重全","男","0225179448","N"
"開業","金福星西藥局","臺北市","中山區","合江街79號","周秋景","女","25000328","N"
"開業","良佑藥局","臺北市","中山區","撫順街６之２號１樓","張孝玲","女","0225916402","Y"
"開業","大愛藥師藥局","臺北市","中山區","吉林路255號","陳士昌","男","25424723","Y"
"開業","久大藥局","臺北市","中山區","林森北路480號","李佩玲","女","25111594","Y"
"開業","專心藥局","臺北市","中山區","伊通街112之2號","朱思蓉","女","25155847","Y"
"開業","康林藥局","臺北市","中山區","興安街105號","蕭宏安","男","25171867","Y"
"開業","民生興安藥局","臺北市","中山區","民生東路3段90之1號","蔡嘉宏","男","25018310","Y"
"開業","啟美藥師藥局","臺北市","中山區","錦州街282號","范宥富","男","02-25178032","Y"
"開業","華康藥局","臺北市","中山區","民生西路3巷2之1號","陳君平","男","25211772","Y"
"開業","龍江藥局","臺北市","中山區","龍江路356巷14號","黃雅玲","女","25023724","Y"
"開業","躍獅晴光藥局","臺北市","中山區","農安街23之2號","謝宗翰","男","25951393","Y"
"開業","德惠藥局","臺北市","中山區","德惠街122號","葉益宏","男","25971131","Y"
"開業","金生藥局","臺北市","中山區","長安東路2段167之1號","蘇輝鴻","男","(02)8772-9808、27312302","Y"
"開業","興康源藥局","臺北市","中山區","中山北路1段140巷8號","呂緞","女","25311248","Y"
"開業","富宥康藥局","臺北市","中山區","北安路608巷5弄22號","汪政毅","男","02-25324769","Y"
"開業","淮濟藥師藥局","臺北市","中山區","北安路570號(實際營業地址:1樓及地下1樓)","郭惟華","男","85098636","Y"
"開業","辰易藥品企業有限公司","臺北市","中山區","南京東路三段91號10樓","林揚程","男","02-25082667","N"
"開業","經略藥業有限公司","臺北市","中山區","林森北路627號2樓之3","張孝邦","男","","N"
"開業","恆信藥品有限公司","臺北市","中山區","長安東路2段171號2樓之2","李鴻明","男","2772-1065",""
"開業","豐山生技醫藥品股份有限公司","臺北市","中山區","復興北路62號3樓之3","俞篤文","男","87518892",""
"開業","惠民製藥股份有限公司","臺北市","中山區","吉林路98巷3號","葉達雄","男","0225223104","N"
"開業","聯宇有限公司","臺北市","中山區","吉林路98巷3號2樓","葉達雄","男","25413770","N"
"開業","宏翔藥品有限公司","臺北市","中山區","民權西路七九號六樓之六","林承宏","男","0225987130","N"
"開業","濠隆實業有限公司","臺北市","中山區","明水路672巷38號2樓","洪榮華","男","85023869、25336807","N"
"開業","銘理藥品有限公司","臺北市","中山區","新生北路一段二十五號四樓","曾木盛","男","25602116","N"
"開業","吉林藥局","臺北市","中山區","吉林路371號(1樓)","温建凱","男","2586-5990","Y"
"開業","永育康暉藥局","臺北市","中山區","樂群二路210之2號1樓","張紹暉","男","(02)8501-2268","Y"
"開業","龍江台安藥局","臺北市","中山區","龍江路247號(1樓)","楊晴文","女","02-25091007","Y"
"開業","可康藥局","臺北市","中山區","林森北路373號(1樓)","施庭榆","女","25361078","Y"
"開業","專品龍江藥局","臺北市","中山區","龍江路311號1樓","蔡允倫","男","(02)2517-8870","Y"
"開業","逸帆藥局","臺北市","中山區","錦州街189號","謝麗君","女","","Y"
"開業","正傑健保藥局","臺北市","中山區","長安東路二段181號","蔡正彥","男","2731-0181","Y"
"開業","錦西春天生活藥局","臺北市","中山區","錦西街10號","李易瑩","女","25312658","Y"
"開業","中山藥局","臺北市","中山區","林森北路128號","謝誌榮","男","25236979","Y"
"開業","保德明水藥局","臺北市","中山區","北安路608巷4弄1號","黃彥儒","男","85097769","Y"
"開業","廣福中西藥局","臺北市","中山區","錦州街406號","張永煌","男","25189489","Y"
"開業","大直健康藥局","臺北市","中山區","北安路591號","鄭佳琳","女","02-25323310","Y"
"開業","娸淇藥局","臺北市","中山區","伊通街95號","李宜真","女","25082762","Y"
"開業","OK藥師藥局","臺北市","中山區","興安街95號","呂發財","男","25170068","Y"
"開業","昶青林森藥局","臺北市","中山區","林森北路119巷52號","陳香光","女","02-25639939","Y"
"開業","麗恩藥局","臺北市","中山區","林森北路575之5號","施冠州","男","02-25981982","Y"
"開業","建誠中西藥局","臺北市","中山區","龍江路385之1號","蔡博全","男","02-25158608","Y"
"開業","誠意中西藥局","臺北市","中山區","林森北路613號","游志凱","男","02-25950951","Y"
"開業","長安藥局","臺北市","中山區","長安東路二段171-3號","楊閔淑","女","02-27772740","Y"
"開業","仁一藥局","臺北市","中山區","林森北路520號","吳松憲","男","02-25711742","Y"
"開業","大直小太陽藥局","臺北市","中山區","北安路607-1號","林秀美","女","85093208","Y"
"開業","美康正康藥局","臺北市","中山區","北安路616之1號、618號2樓之1","林佳璇","女","25323077","Y"
"開業","大直永安藥局","臺北市","中山區","北安路567之2號","余瑞峰","男","02-25332125","Y"
"開業","元宏藥局","臺北市","中山區","北安路458巷41弄49號","黃宣溥","男","02-25339728","Y"
"開業","農安藥局","臺北市","中山區","農安街18之1號","劉思伶","女","02-25959293","Y"
"開業","聖晨藥局","臺北市","中山區","農安街140號","陳文仁","男","","Y"
"開業","錦州春天生活藥局","臺北市","中山區","錦州街213號、213號2樓","朱喬伶","女","0225213586","Y"
"開業","中華藥局","臺北市","中山區","農安街45之1號","蔡伯汾","男","","Y"
"開業","農安盛康藥局","臺北市","中山區","農安街267號","王巧雯","女","25069164","Y"
"開業","佳頤中西藥局","臺北市","中山區","長春路147之1號","林汶頡","男","02-25641479","N"
"開業","康銓藥局","臺北市","中山區","農安街174號","楊哲旻","男","25039393","N"
"開業","禾全藥局","臺北市","中山區","龍江路332號","周裕翔","男","02-25165721","Y"
"開業","十二願藥局","臺北市","中山區","林森北路309號","朱詠欣","女","","Y"
"開業","禾康藥局","臺北市","中山區","植福路296號(實際營業地址:1層)","朱美恩","女","","Y"
"開業","大樹龍江藥局","臺北市","中山區","龍江路242號","呂欣珈","女","(02)2503-5666","Y"
"開業","安悅藥局","臺北市","中山區","吉林路189號","蔡東宏","男","2541-9879","Y"
"開業","康廷藥局","臺北市","中山區","北安路611號（實際營業地址：1層）","林品琪","女","02-25335890","Y"
"開業","東東藥局","臺北市","中山區","長春路257之2號1樓","陳盈宏","男","(02)2503-1730","Y"
"開業","誠果中西藥局","臺北市","中山區","吉林路101號1樓","沈一穎","女","02-25238563","Y"
"開業","盛康藥局","臺北市","中山區","吉林路399號1樓","嚴慈欣","女","(02)2596-9580","Y"
"開業","杏一龍錦藥局","臺北市","中山區","龍江路279號1樓","白姍穎","女","(02)2517-4618","Y"
"開業","第一藥局","臺北市","中山區","合江街１７巷６號","林天造","男","0225030124","N"
"開業","立大藥局","臺北市","中山區","吉林路144巷14號","毛碧君","女","0225313844","Y"
"開業","武璋大藥局","臺北市","中山區","伊通街９７號之２","沈慶宗","男","0225072026","Y"
"開業","長青藥局","臺北市","中山區","興安街５５號１樓","程寓熙","男","0225053160","Y"
"開業","晏晟藥局","臺北市","中山區","林森北路６２５號","陳伶娥","女","0225851445","Y"
"開業","美日藥局","臺北市","中山區","天津街六十六號一樓","黃建嘉","男","25631662","Y"
"開業","人人藥局","臺北市","中山區","吉林路二六七號一樓","周正錕","男","02-25630798","Y"
"開業","文德藥局","臺北市","中山區","龍江路三五六巷十九號一樓","林小紋","女","25181178","Y"
"開業","展佑藥局","臺北市","中山區","長春路一四六之一號","洪慧婷","女","25232803","Y"
"開業","中崙藥局","臺北市","中山區","八德路二段三０七號","陳珠美","女","27114971","Y"
"開業","祥泰藥局","臺北市","中山區","林森北路136號","洪榮宏","男","02-25614200","Y"
"開業","嘉恩藥局","臺北市","中山區","錦州街321號","陳姿吟","女","25181418","Y"
"開業","樂活苑藥局","臺北市","中山區","北安路546號1樓","彭顯善","女","25323296","Y"
"開業","麗亞藥局","臺北市","中山區","雙城街32號","蔡美娟","女","25981065","N"
"開業","光裕醫藥有限公司","臺北市","松山區","復興北路１號１６樓之５","林清富","男","0227529111","N"
"開業","景泰藥品股份有限公司","臺北市","松山區","延壽街３４７號１樓","李景惠","女","02-27610520","N"
"開業","景福藥品有限公司","臺北市","松山區","復興北路３１１號４樓","張德昭","男","0227127019","N"
"開業","新玄生藥局","臺北市","松山區","光復南路６巷２５號１樓","陳德重","男","0225780360","N"
"開業","慶醫企業有限公司","臺北市","松山區","南京東路四段１０7號3樓之2","林慶煌","男","0225701396","N"
"開業","瑪里士實業有限公司","臺北市","松山區","八德路3段219號8樓、11樓","王增譽","男","0225778383","N"
"開業","長杏股份有限公司","臺北市","松山區","民族東路679號1樓","黃榮賢","男","0227196662","N"
"開業","昂陽企業有限公司","臺北市","松山區","民權東路三段１６０巷１９弄７號","呂清惠","男","87124919","N"
"開業","景昇貿易有限公司","臺北市","松山區","復興北路15號13樓之13","姚慶政","男","2751-0202","N"
"開業","彥臣生技藥品股份有限公司","臺北市","松山區","八德路3段36號6樓","黃中洋","男","",""
"開業","安郁藥局","臺北市","松山區","八德路三段１２巷５１弄１６號１樓","彭紫櫻","女","0225774551","Y"
"開業","安世藥局","臺北市","松山區","南京東路四段１３３巷５弄９號","劉炳煌","男","0227133405","Y"
"開業","明一藥局","臺北市","松山區","南京東路五段５９巷２８弄２５號１樓","楊春芳","女","0227691654","Y"
"開業","傑安藥局","臺北市","松山區","八德路二段４３７巷７弄８號１樓","許文安","男","27524155","Y"
"開業","仁弘藥局","臺北市","松山區","民生東路三段１１３巷２５弄６號１樓","陳淑芳","女","0227136764","Y"
"開業","益華藥局","臺北市","松山區","民生東路五段１３８巷６號","羅浩展","男","0227624898","Y"
"開業","德靈藥局","臺北市","松山區","富錦街５４８號","蔡燕雪","女","0227646998","Y"
"開業","合生藥局","臺北市","松山區","南京東路五段１２３巷４５號１樓","邱紹洲","男","27602932","Y"
"開業","中崙五代全民藥局","臺北市","松山區","延吉街７之２號１樓","陳健成","男","25700079","N"
"開業","上允藥局","臺北市","松山區","民生東路五段78號","陳玉芬","女","0227696905","Y"
"開業","建東大藥局","臺北市","松山區","三民路９７號一樓","陳界宏","男","0227676237","Y"
"開業","延壽藥局","臺北市","松山區","延壽街３２７號","朱炳權","男","0227685159","Y"
"開業","萬泰藥局","臺北市","松山區","敦化北路222巷38號","林志勳","男","27135891","Y"
"開業","博荃藥局","臺北市","松山區","敦化北路4巷51號","蕭李恩","男","27316736","Y"
"開業","家音藥局","臺北市","松山區","民生東路五段73號","顏敏純","女","02-37652080","Y"
"開業","中美藥局","臺北市","松山區","富錦街531號","謝昆達","男","27627468","Y"
"開業","惠登藥局","臺北市","松山區","民生東路3段130巷34號","李孟仰","男","02-25472432","Y"
"開業","松田藥局","臺北市","松山區","延吉街9-6號","邱鴻昌","男","25798005","Y"
"開業","予志藥局","臺北市","松山區","富錦街521號","王明媛","女","02-27623522","Y"
"開業","婕登藥局","臺北市","松山區","八德路4段699號","蔡秀敏","女","27482893","Y"
"開業","晨安藥局","臺北市","松山區","八德路三段155巷20弄2號","何佩蘭","女","25798460","Y"
"開業","銘德藥局","臺北市","松山區","八德路2段366巷28號","許家銘","男","27511833","Y"
"開業","立康大藥局","臺北市","松山區","八德路四段2之1號","張皓翔","男","27471749","Y"
"開業","躍獅松和藥局","臺北市","松山區","八德路四段666之1號","鄭奇峰","男","27492569","Y"
"開業","京東藥局","臺北市","松山區","南京東路五段272號","林欣愷","男","27679503","Y"
"開業","晨新藥局","臺北市","松山區","八德路四段91巷1之1號","何育倫","男","","Y"
"開業","躍獅京華藥局","臺北市","松山區","南京東路五段71號","賴煌濱","男","(02)2766-6508","Y"
"開業","綠之家藥局","臺北市","松山區","延壽街428號","陳詩宇","女","","Y"
"開業","康采藥局","臺北市","松山區","南京東路五段291巷17之2號","黃莉婷","女","02-22578649","Y"
"開業","誠康中西藥局","臺北市","松山區","南京東路5段59巷31弄43號","陳偉欽","男","2761-9679","Y"
"開業","唯康藥局","臺北市","松山區","八德路3段211號","熊柏翰","男","25775000","Y"
"開業","台北長庚維康藥局","臺北市","松山區","敦化北路199巷2弄5號1樓","洪嘉妤","女","2719-9386","Y"
"開業","專品南京藥局","臺北市","松山區","南京東路四段73號","王文信","男","25147685","Y"
"開業","芝欣藥局","臺北市","松山區","八德路3段148號","陳蓉蓉","女","25706677","Y"
"開業","立赫敦北藥局","臺北市","松山區","敦化北路222巷20號","周佳賢","男","02-27199277","Y"
"開業","健康活力藥師藥局","臺北市","松山區","民生東路五段219號","李協昌","男","02-27455556","Y"
"開業","啄木鳥藥局","臺北市","松山區","八德路四段209號(一、二層)、211號(一、二層)","林鴻文","男","27422413","Y"
"開業","玖田藥局","臺北市","松山區","八德路四段655號","吳俞瑾","女","02-27666578","Y"
"開業","澄馨藥局","臺北市","松山區","三民路37號","方若穎","女","27589614","Y"
"開業","一安正昇藥局","臺北市","松山區","南京東路五段309號","梁世易","男","02-27680993","Y"
"開業","杏一延吉藥局","臺北市","松山區","延吉街32號","李欣穎","女","25798450","Y"
"開業","松山八德藥局","臺北市","松山區","八德路二段400號","湯尚道","男","02-27782773","Y"
"開業","新德大藥局","臺北市","松山區","饒河街204號","陳信潔","男","27474473","Y"
"開業","光點延新藥局","臺北市","松山區","延壽街101號","鄭志宇","男","27667795","Y"
"開業","欣生藥局","臺北市","松山區","民生東路五段138巷1號","蘇敏堯","男","27567611","Y"
"開業","杏一台北長庚藥局","臺北市","松山區","敦化北路199巷2弄3號","吳沛龍","男","02-25149463","Y"
"開業","立赫民生藥局","臺北市","松山區","民生東路四段72號","胡智翔","男","27139200","N"
"開業","安禾大藥局","臺北市","松山區","撫遠街382號","曾�昇","男","02-27602952","Y"
"開業","巧心藥局","臺北市","松山區","八德路3段12巷57弄39之3號1樓","陳芳媛","女","25703728","Y"
"開業","躍獅敦北藥局","臺北市","松山區","民生東路四段80巷5號1樓","林郁宸","男","02-27155691","Y"
"開業","慶昌藥局","臺北市","松山區","延吉街29號1樓","孫瑋孝","男","25770820","Y"
"開業","順儷中崙藥局","臺北市","松山區","八德路3段74巷48號1樓","陳銘達","男","25796900","Y"
"開業","晨心藥局","臺北市","松山區","民生東路3段101號1樓","陳思婷","女","02-27128386","Y"
"開業","家育藥局","臺北市","松山區","民生東路5段216號1樓","蔡瑛珍","女","02-27678639","Y"
"開業","佑翔藥局","臺北市","松山區","民生東路5段95號1樓","詹前彥","男","02-87875070","Y"
"開業","民生盛康藥局","臺北市","松山區","民生東路5段204號1樓","林國基","男","02-27460758","Y"
"開業","杏一台北台安藥局","臺北市","松山區","八德路2段399號1樓","高偉哲","男","87728295","Y"
"開業","大樹松山藥局","臺北市","松山區","民生東路5段107號1樓","廖芯褕","女","02-27562226","Y"
"開業","康麗藥局","臺北市","松山區","南京東路3段303巷20號(1樓)","陳美伶","女","02-27174117","Y"
"開業","全欣藥局","臺北市","松山區","復興北路73號2樓","雷克秀","女","87729066","Y"
"開業","富景藥局","臺北市","松山區","三民路145號1樓","王政勛","男","27455666","Y"
"開業","逸菁中西特約藥局","臺北市","松山區","八德路3段12巷62弄15號1樓","黃畹藀","女","02-23822791","Y"
"開業","駿俏藥局","臺北市","松山區","八德路2段397號1樓","羅云翎","女","02-87728085","Y"
"開業","微笑藥師藥局","臺北市","大安區","信義路3段31巷4號","廖偉呈","男","27009655","Y"
"開業","明星大藥局","臺北市","大安區","光復南路430之1號","陳姵諠","女","27023747","Y"
"開業","博昱師大藥局","臺北市","大安區","羅斯福路3段189號","李宛真","女","02-23696966","Y"
"開業","國泰維康藥局","臺北市","大安區","仁愛路4段266巷15弄20號","張家瑞","男","27542185","Y"
"開業","奇威藥局","臺北市","大安區","雲和街93號","蘇柏元","男","23651110","Y"
"開業","百岳藥局","臺北市","大安區","和平東路二段311巷11號","黃淑美","女","27551037","Y"
"開業","大安健康人生藥局","臺北市","大安區","信義路4段34號","杜冠廷","男","27025553","Y"
"開業","博昱大藥局","臺北市","大安區","樂業街148號、150號","許淑芬","女","23776199","Y"
"開業","專品六張犁藥局","臺北市","大安區","基隆路2段217號1樓","王暐斮","男","02-87322226","Y"
"開業","早安藥局","臺北市","大安區","建國南路2段151巷42號1樓","郭子瑛","女","(02)27002209","Y"
"開業","頤品中西藥局","臺北市","大安區","浦城街24之2號(1樓)","林育婷","女","02-23685656","Y"
"開業","躍獅敦和藥局","臺北市","大安區","和平東路3段10號","張晃毓","男","02-23785767","Y"
"開業","中力信義藥局","臺北市","大安區","信義路4段51號(1樓)","陳麗芬","女","02-23250266","Y"
"開業","弘昌藥局","臺北市","大安區","通化街139號","陳秉弘","男","02-27321616","Y"
"開業","博醫仁愛藥局","臺北市","大安區","仁愛路4段8巷2號1樓","謝明玲","女","(02)2701-9107","Y"
"開業","鎮安中西安和藥局","臺北市","大安區","安和路1段123號1樓","鄭舒方","女","2701-5201","Y"
"開業","敦南春天藥局","臺北市","大安區","敦化南路2段81巷63號1樓","涂修華","男","27553266","Y"
"開業","百立藥局","臺北市","大安區","和平東路三段二二八巷六六號一樓","陳文斌","男","0227327211","Y"
"開業","吉成藥局","臺北市","大安區","泰順街7號","周宜發","男","0223636475","Y"
"開業","大興藥局","臺北市","大安區","通化街三九巷五０弄一五號一樓","張光是","男","0227053369","Y"
"開業","永誠藥局","臺北市","大安區","忠孝東路4段216巷25之1號","林素美","女","0227520273","Y"
"開業","正昌藥局","臺北市","大安區","通化街三八巷九號一樓","郭文成","男","0227540070","Y"
"開業","建如藥局","臺北市","大安區","和平東路三段２２８巷１１號１樓","石博文","男","0227331456","Y"
"開業","生百藥局","臺北市","大安區","臨江街１２４號","劉百偉","男","0227371011","Y"
"開業","台安藥局","臺北市","大安區","和平東路二段三五三號一樓","邱清照","女","27549099","Y"
"開業","生光藥局","臺北市","大安區","忠孝東路三段二四八巷二號","孫淑儀","女","27780862","Y"
"開業","千福藥局","臺北市","大安區","忠孝東路四段四十五號地下二樓","蘇澤偉","男","27403767","N"
"開業","永康藥局","臺北市","大安區","麗水街6之2號","許順安","男","23279362","Y"
"開業","祥瑞中西大藥局","臺北市","大安區","復興南路1段107巷49號","陳信成","男","27752551","N"
"開業","世中欣藥局","臺北市","大安區","永康街2巷8號","周世瑛","男","2393-8947","Y"
