,機構名稱,權屬別,型態別,地址,修正地址,lon,lat
36,王建發中醫診所,私立中醫診所,中醫診所,臺南市永康區網寮里文化路369號,False,120.2522626,23.015575600000002
37,千祥中醫診所,私立中醫診所,中醫診所,臺南市永康區大橋里大橋二街221號,False,120.23002789999998,23.0206998
38,劉俊良中醫診所,私立中醫診所,中醫診所,臺南市永康區崑山里永大路2段123號1樓,False,120.2608387,23.004717300000003
39,重德中醫診所,私立中醫診所,中醫一般診所,雲林縣斗六市成功路407號,False,120.55067329999999,23.705761499999994
40,新生中醫診所,私立中醫診所,中醫診所,雲林縣斗六市六合街97號,False,120.53802300000001,23.705792
41,安賢中醫診所,私立中醫診所,中醫診所,雲林縣斗六市上海路136號1樓,False,120.5386812,23.7124864
42,乾光中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮埤麻里24號,False,null,null
43,信安中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮民權路6之1號,False,120.4796054,23.674144599999998
44,聖德中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮南昌西路52-1號,False,120.47502809999999,23.6718319
45,狀元堂中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮明昌里延平路二段478號,False,120.4760529,23.6736929
46,國際中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮民權路31號,False,120.47873199999998,23.673751
47,大春堂中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮明昌里中正路二四五號,True,120.47464829999998,23.675764100000002
48,太和堂中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮工專路65號,False,120.42540699999999,23.700552
49,佳樟中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮光復路200號,False,120.4435044,23.7097311
50,明德堂中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮東仁里民族路23-2、23-3號,False,null,null
51,立仁中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮立仁街十五號,True,120.429183,23.706573
52,宏儒中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮新興里光復路309號,False,120.44021450000001,23.7097951
53,張中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮和平路21之2號1樓,False,120.4381373,23.7094343
54,東方虎尾中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮中正路329號,False,120.42950789999998,23.704058099999997
55,南光中醫診所,私立中醫診所,中醫診所,雲林縣虎尾鎮新生路62-1號1樓,False,120.43952320000001,23.708977999999995
56,辰欣中醫診所,私立中醫診所,中醫診所,雲林縣虎尾鎮中山里中山路62號,False,120.4344728,23.707813299999998
57,復春中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮光復西路120號,False,120.461913,23.797072500000002
58,成功中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮平和路185號,False,120.4585706,23.800660899999997
59,建成中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮延平路400.402號1樓,False,120.4590984,23.801252549999997
60,冠雲中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮中山路二段351號,False,120.9666094,23.9642628
61,十方中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮西安路一段333號1樓,False,120.9695187,23.9730566
62,濟生中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮中正路435號,False,120.9666306,23.9656542
63,大眾中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮南昌街202號,False,120.96522600000002,23.965847399999998
64,隆昇中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮隆生路81號,False,120.9678869,23.9599029
65,元濟中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮中華路257號,False,120.9718447,23.971522999999998
66,普仁中醫診所,私立中醫診所,中醫診所,南投縣埔里鎮東峰路19號,False,120.94036960000001,24.0073995
67,明山中醫診所,私立中醫診所,中醫專科診所,南投縣草屯鎮炎峰街17號,False,120.686423,23.980042899999994
68,蒼生中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮草溪路959號,False,120.6809697,23.975928099999997
69,佳仁堂中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮中正路685、687號1F,False,120.68422499999998,23.979737
70,豐田中醫診所,私立中醫診所,中醫一般診所,彰化縣二林鎮豐田里大成路一段59號、59-1號,False,120.37284790000001,23.900219399999997
71,德桂中醫診所,私立中醫診所,中醫一般診所,彰化縣二林鎮豐田里南安路30號,False,120.37435289999998,23.8985253
72,品豪中醫診所,私立中醫診所,中醫診所,彰化縣線西鄉沿海路一段812之1號,False,120.46296260000001,24.1335388
73,陳增智中醫診所,私立中醫診所,中醫一般診所,彰化縣伸港鄉新港村忠孝路25號,False,120.4859014,24.148511599999996
74,榮脩中醫診所,私立中醫診所,中醫診所,彰化縣伸港鄉中山路65號,False,120.48528659999998,24.1473121
75,昌德中醫診所,私立中醫診所,中醫一般診所,彰化縣秀水鄉福安村中山路五二九號,True,120.4968418,24.032685899999997
76,祥賀中醫診所,私立中醫診所,中醫一般診所,彰化縣秀水鄉中山路335號,False,120.50102160000002,24.034572999999998
77,佶昌中醫診所,私立中醫診所,中醫一般診所,彰化縣秀水鄉彰水路二段三號,True,120.49008420000001,24.0203392
78,顧安中醫診所,私立中醫診所,中醫一般診所,彰化縣花壇鄉北口村中山路二段636號一、二樓,False,120.53406299999999,24.044526899999997
79,佳仁堂中醫診所,私立中醫診所,中醫一般診所,彰化縣花壇鄉中山路二段六十、六十二號,True,120.53975399999997,24.0384566
80,彰芳中醫診所,私立中醫診所,中醫一般診所,彰化縣花壇鄉中山路二段五五一號,True,120.53454729999999,24.0411179
81,濟生中醫診所,私立中醫診所,中醫一般診所,彰化縣芬園鄉社口村清水路四十六號,True,120.62993309999999,24.0147286
82,存德中醫診所,私立中醫診所,中醫一般診所,彰化縣芬園鄉社口村芬草路二段284巷9號,False,120.62927839999999,24.013908200000003
83,人和堂中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮後溪巷9號1樓,False,120.5345696,23.878779400000003
84,寶田中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮中華路260號,False,120.5221944,23.873139999999996
85,勢登中醫診所,私立中醫診所,中醫診所,彰化縣北斗鎮斗苑路一段94號,False,120.5261667,23.8724866
86,進安中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市中正路132號,False,120.5757726,23.9523848
87,順規中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市惠來里光明南街47號1樓,False,120.57331250000001,23.9506981
88,萬德堂中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市莒光路370號,False,120.5669636,23.960572799999998
89,許文輝中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市民生里永昌街7號,False,120.57738299999998,23.9536338
90,順星中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市育英路580號,False,120.573898,23.968608099999994
91,昇德中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市中山南路76號,False,120.570875,23.954292900000002
92,健元中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市靜修路62號,False,120.56733150000001,23.9620662
93,王淑貞中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市三和里實踐街58號,False,120.5793527,23.9660838
94,廣泰中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中原路468號,False,121.5982154,23.970581999999997
95,莊瓊貴中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市復興街126號,False,121.60500969999998,23.9836492
96,仁濟中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中正路43號,False,121.5953753,23.969489499999998
97,國烈中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市商校街100號1樓,False,121.6031244,23.987725699999995
98,杏林中醫診所,私立中醫診所,中醫診所,花蓮縣玉里鎮光復路170號,False,121.31284880000001,23.3315967
99,廣修堂中醫診所,私立中醫診所,中醫診所,花蓮縣玉里鎮中正路72號,False,121.31595889999998,23.333283899999994
100,嘉德中醫診所,私立中醫診所,中醫診所,花蓮縣新城鄉福德路1號,False,121.61025699999999,24.016111000000002
101,藍啟文中醫診所,私立中醫診所,中醫診所,花蓮縣吉安鄉莊敬路235號,False,121.59297809999998,23.990278999999997
102,黃世傑中醫診所,私立中醫診所,中醫診所,花蓮縣吉安鄉建國路一段六一號,True,121.59457389999999,23.9850488
103,陳中醫診所,私立中醫診所,中醫診所,花蓮縣吉安鄉中山路三段276號,False,121.57123999999999,23.977749900000003
104,廣濟堂中醫診所,私立中醫診所,中醫診所,花蓮縣瑞穗鄉國光北路39號,False,121.37960179999999,23.4977287
105,冠惠中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市更生路8號,False,121.15174199999998,22.755553600000002
106,金雞堂中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市寶桑路162號,False,121.15577309999999,22.755407799999997
107,壽春中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市新生路492號,False,121.13972600000001,22.760060700000004
108,和仁堂中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市復興路209號,False,121.14974020000001,22.7528681
109,復華中醫診所,私立中醫診所,中醫診所,臺南市永康區中華里忠孝路3號,False,120.23985900000001,22.9991174
110,王相欽中醫診所,私立中醫診所,中醫診所,臺南市永康區復國里復國一路168號,False,120.24626959999999,23.005735599999998
111,黃中一中醫診所,私立中醫診所,中醫診所,臺南市永康區中華里華興街139號1-2樓,False,120.23564909999999,23.0006311
112,天相中醫診所,私立中醫診所,中醫診所,臺南市永康區甲頂里中正南路90號,False,120.216403,23.021082099999997
113,全興中醫診所,私立中醫診所,中醫診所,臺南市永康區鹽行里新中街59號,False,120.2399147,23.0361743
114,祐康中醫診所,私立中醫診所,中醫診所,臺南市永康區五王里中華路396號,False,120.2333888,23.009684799999995
115,順安堂中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區忠誠路93號,False,120.32594979999999,22.5948971
116,慶昌中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區五甲三路82號,False,120.326641,22.592388000000003
117,鄭阿緞針灸科中醫診所,私立中醫診所,中醫專科診所,高雄市鳳山區建國路二段216號1樓,False,120.3585704,22.636290999999996
118,福泉中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區光復路172號,False,120.35664639999997,22.6291495
119,福安堂中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區中山東路339號,False,120.37677369999999,22.626952499999998
120,超群中醫診所,私立中醫診所,中醫診所,臺南市善化區光文里民權路143號1樓,False,120.30002309999999,23.1314589
121,平安中醫診所,私立中醫診所,中醫診所,臺南市學甲區仁得里自強路123號,False,120.17869009999998,23.228983
122,姜正夫中醫診所,私立中醫診所,中醫診所,臺南市下營區下營里中山路一段71號,False,120.2629566,23.235422799999995
123,德安中醫診所,私立中醫診所,中醫診所,臺南市官田區南?里77號,False,120.33355110000001,23.19325015
124,李阿宋中醫診所,私立中醫診所,中醫診所,臺南市將軍區西華里62-31號,False,120.15744000000001,23.198136549999997
125,家明中醫診所,私立中醫診所,中醫診所,臺南市新市區新市里中正路267號,False,120.29244999999999,23.079052
126,永就中醫診所,私立中醫診所,中醫診所,臺南市新市區永就里52之5號,False,120.29454829999999,23.063160699999997
127,黃玉春中醫診所,私立中醫診所,中醫診所,臺南市新市區新和里光華街103號,False,120.29583160000001,23.0760062
128,勝義中醫診所,私立中醫診所,中醫診所,臺南市新市區新和里忠孝街158號,False,120.294574,23.0746912
129,德盛中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市民族路362號,False,120.54000199999999,24.074009999999998
130,鈺漢堂中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市彰南路二段256-1號,False,120.58319680000001,24.083796900000003
131,玉衡中醫診所,私立中醫診所,中醫診所,彰化縣彰化市中山路三段86號,False,120.5557621,24.084971300000003
132,一正中醫診所,私立中醫診所,中醫診所,彰化縣彰化市興北里長壽街198號1樓,False,120.54143429999999,24.083499399999997
133,李宗峰內科針炙科中醫診所,私立中醫診所,中醫專科診所,彰化縣鹿港鎮溝墘里鹿和路三段608號,False,120.4799886,24.084992099999997
134,萬春中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮頂草路四段405號,False,120.4575285,24.1082757
135,陽明中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮中山路402號,False,120.43164600000001,24.058994
136,鹿洲中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮中山南路29號,False,120.43953339999999,24.0463199
137,新侒中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮民權路125號,False,120.436084,24.0570678
138,天喜中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮泰興里中山路50號1、2樓,False,120.4366252,24.051674
139,侯阿六中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮彰鹿路八段16號,False,120.4390502,24.0494565
140,一品堂鹿港中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮永安里中正路四二二號,True,120.43855769999999,24.0599235
141,張良松中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮永安里復興路342號,False,120.43766300000001,24.057555699999998
142,宜德中醫診所,私立中醫診所,中醫診所,彰化縣鹿港鎮民族路215號,False,120.43372640000001,24.053633599999998
143,賴鵬飛中醫診所,私立中醫診所,中醫一般診所,彰化縣和美鎮山犁里鹿和路六段371號,False,120.49519989999999,24.109114599999998
144,國惠中醫診所,私立中醫診所,中醫一般診所,彰化縣和美鎮和卿路183號,False,120.49420080000002,24.113298599999997
145,三泰堂中醫診所,私立中醫診所,中醫一般診所,彰化縣和美鎮仁美路14號,False,120.5013336,24.1081492
146,天水堂中醫診所,私立中醫診所,中醫一般診所,彰化縣和美鎮彰美路六段四十號,True,120.49787699999999,24.113189
147,杏雄堂中醫診所,私立中醫診所,中醫一般診所,彰化縣和美鎮糖友里糖友一街68號1樓,False,120.53409769999999,24.107799699999998
148,順成中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮中正路180號,False,120.5219614,23.874371499999995
149,振興中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮七星里七里巷8號,False,120.527469,23.8715512
150,真元堂中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮中正路149號,False,120.52183029999999,23.873723699999996
151,護元堂中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮居仁里宮後街26之2號,False,120.52540499999998,23.8736963
152,榮生中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市中華路242號之1號,False,120.5380208,24.0777783
153,鄭先中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市光復里中正路一段355號,False,120.54432630000001,24.0828594
154,菩提中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市曉陽路262號,False,120.5355438,24.0734268
155,大信堂中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市竹中里彰南路二段7號,False,120.5769801,24.085725899999996
156,正元內科中醫診所,私立中醫診所,中醫專科診所,彰化縣彰化市中民街47、49號,False,120.5472339,24.084948900000004
157,光德中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市太平街72號,False,120.5423402,24.077419699999997
158,健榮中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市華山路61號1樓,False,120.54146199999998,24.074509
159,楊中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市陽明里三民路四Ｏ二之一號,True,120.54151284999999,24.08256555
160,彰化少林中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市東民街26號,False,120.546176,24.0755514
161,祥順中醫聯合診所,私立中醫診所,中醫一般診所,彰化縣彰化市中民街70號,False,120.54701139999999,24.084602899999997
162,健雄中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市大埔路726號,False,120.53893585,24.06779605
163,同濟中醫聯合診所,私立中醫診所,中醫一般診所,彰化縣彰化市新興里彰新路一段21號1樓,False,120.53839800000002,24.089097
164,王耀賢中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市新華里彰美路一段110巷103-5號1樓,False,120.541729,24.089028399999997
165,現代中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市博愛街50號,False,120.5452418,24.073542600000003
166,弘健中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市大埔路466號,False,120.54320609999999,24.0638756
167,順泰中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市仁愛路110號1樓,False,120.53725320000001,24.069868199999995
168,崧傑中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市忠權自強南路195號,False,120.53619955,24.085005949999996
169,福祥中醫診所,私立中醫診所,中醫一般診所,臺中市大里區塗城路六九七號,True,120.7005968,24.088638600000003
170,立人堂中醫診所,私立中醫診所,中醫一般診所,臺中市大里區立仁路一五0號,False,120.7031195,24.1084916
171,錫安中醫診所,私立中醫診所,中醫一般診所,臺中市大里區益民路二段一九八之三_號,False,120.6829586,24.110649749999997
172,頌恩中醫診所,私立中醫診所,中醫一般診所,臺中市大里區永興路一二九號,True,120.6818402,24.109229
173,祐生中醫聯合診所,私立中醫診所,中醫一般診所,臺中市大里區大里路一號,True,120.6895441,24.107810299999997
174,慈佑中醫診所,私立中醫診所,中醫一般診所,臺中市大里區勝利二路97號,False,120.68249800000001,24.1024109
175,慶昇中醫診所,私立中醫診所,中醫一般診所,臺中市大里區中興路二段380－1號1樓,False,120.6897629,24.1060491
176,長慶中醫診所,私立中醫診所,中醫一般診所,澎湖縣馬公市惠民一路10號,False,119.56486310000001,23.566676899999997
177,錦山中醫診所,私立中醫診所,中醫一般診所,澎湖縣馬公市朝陽里陽明路二十四號,True,119.57552020000001,23.572703599999997
178,松安堂中醫診所,私立中醫診所,中醫一般診所,澎湖縣馬公市光榮里三多路352號,False,119.57058959999999,23.5773275
179,順安堂內科中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市林森路266之1號,False,121.607773,23.982675999999998
180,彭世銘中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中山路825號,False,121.596295,23.993311
181,隆安中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中山路523號,False,121.6023833,23.985693400000002
182,萬順外科中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中山路76號,False,121.6111615,23.974883
183,仁和堂中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中山路314號,False,121.606094,23.981441399999994
184,慈惠中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中華路403號,False,121.59371910000002,23.9744781
185,同仁堂中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市建國路256號,False,121.5996195,23.984404700000002
186,陳逸光中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市富國路10號,False,121.59675849999999,23.9916508
187,邱垂從中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中正路147號,False,121.59793169999999,23.971211300000004
188,松裕堂中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中正路637號,False,121.61038060000001,23.9793913
189,江國輝中醫師診所,私立中醫診所,中醫診所,花蓮縣花蓮市和平路471號,False,121.60163039999999,23.9761128
190,圓緣中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市中美路113號,False,121.62663839999999,23.9925072
191,中信中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市林森路111號,False,121.5986262,23.977055699999994
192,長治中醫診所,私立中醫診所,中醫一般診所,屏東縣長治鄉進興村復興路11號,False,120.52874750000001,22.6771422
193,原相中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市和平路332-2號,False,121.60388569999999,23.973637099999998
194,幸德中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市忠孝路229-20號,False,120.48922189999999,22.6843191
195,高點中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市大武路196號,False,120.4745803,22.6582556
196,大同中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市大同北路116號,False,120.47492310000001,22.681961599999994
197,陳駿吉中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市廣東南路67號,False,120.49088789999999,22.6649195
198,慶安中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市自由路420-6號,False,120.4934186,22.6822368
199,明?中醫診所,私立中醫診所,中醫診所,屏東縣屏東市信義路267號,False,120.49029329999999,22.6827324
200,禾豐中醫診所,私立中醫診所,中醫診所,屏東縣屏東市華盛街1-28號,False,120.47854980000001,22.6645657
201,明心堂中醫診所,私立中醫診所,中醫一般診所,屏東縣潮州鎮太平路79號,False,120.53843029999997,22.5535606
202,春安堂中醫診所,私立中醫診所,中醫一般診所,屏東縣潮州鎮新生路18號,False,120.53784060000001,22.5473484
203,張家禎中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市大同路一段281號,False,120.5797956,23.961723
204,李金記中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市三信里中山路二段144號,False,120.571376,23.9643621
205,徐宏杰中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市浮圳路二段513號,False,120.57473569999999,23.9647348
206,全誼中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市員東路二段77號1、2樓,False,120.58620819999999,23.961394499999994
207,陳茂雄中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市靜修東路189、191號,False,120.57708729999999,23.9653666
208,陳進興中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市林森路417號,False,120.5765014,23.962916200000002
209,金育中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市三信里大仁南街13號1樓,False,120.57541909999998,23.9685718
210,曾富雄慈生中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市南昌路五十號,True,120.57316549999999,23.954813899999998
211,傅仰明中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市忠孝里忠孝街180號1樓,False,120.5811761,23.9570358
212,同慶堂中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市中山路二段三七六號,True,120.5714939,23.968710500000004
213,弘益中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市南昌路四十九號,True,120.57202649999999,23.9544909
214,日安堂中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市三信里中山路二段315號,False,120.57111409999999,23.967665799999995
215,神農中醫診所,私立中醫診所,中醫診所,彰化縣員林市中正里中正路400巷13號,False,120.57329139999999,23.957700499999998
216,廖崇成中醫診所,私立中醫診所,中醫診所,彰化縣員林市員水路二段566巷30號,False,120.5765431,23.957036600000002
217,嵩德堂中醫診所,私立中醫診所,中醫診所,彰化縣員林市大同路二段171號1樓,False,120.5754681,23.968924799999996
218,聯安中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市自強路26號,False,120.53882139999999,24.089588799999998
219,榮癸貞中醫診所,私立中醫診所,中醫診所,彰化縣彰化市崙平南路145、147號1樓、2樓,False,120.52540580000002,24.0632844
220,紫雲堂中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市長順街235巷23號,False,120.54849689999999,24.089908
221,冠頤中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市三民路二五七號,True,120.54370779999999,24.085826500000003
222,智宗中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市大埔路379號,False,120.54383129999998,24.0622413
223,健彰中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市彰美路一段141號,False,120.53861199999999,24.0879689
224,達仁堂中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市三民路226.228號,False,120.54391444999997,24.08440215
